172,Jerami Grant,PF,28,POR,20.5,4.5,2.4,0.8,0.8
504,Trendon Watford,PF,22,POR,7.4,3.8,2.1,0.2,0.5
27,Harrison Barnes,PF,30,SAC,15,4.5,1.6,0.1,0.7
301,Trey Lyles,PF,27,SAC,7.6,4.1,0.9,0.4,0.4
374,KZ Okpala,PF,23,SAC,1.3,1,0.4,0.2,0.2
242,Alize Johnson,PF,26,SAS,1.8,2.5,0.3,0,0.3
419,Isaiah Roby,PF,24,SAS,4.1,2.5,0.9,0.2,0.4
456,Jeremy Sochan,PF,19,SAS,11,5.3,2.5,0.4,0.8
28,Scottie Barnes,PF,21,TOR,15.3,6.6,4.8,0.8,1.1
51,Chris Boucher,PF,30,TOR,9.4,5.5,0.4,0.8,0.6
206,Juancho Hernang�mez,PF,27,TOR,2.9,2.9,0.6,0.1,0.4
535,Thaddeus Young,PF,34,TOR,4.4,3.1,1.4,0.1,1
34,Darius Bazley,PF,22,TOT,4.9,3,0.9,0.8,0.5
146,Dorian Finney-Smith,PF,29,TOT,8.2,4.8,1.5,0.5,0.8
185,Rui Hachimura,PF,24,TOT,11.3,4.5,0.9,0.4,0.3
243,Cameron Johnson,PF,26,TOT,15.3,4.3,1.8,0.3,1.2
299,Kevin Love,PF,34,TOT,8.1,6.3,1.9,0.2,0.3
348,Markieff Morris,PF,33,TOT,4,1.9,0.9,0.1,0.2
430,Dario �ari?,PF,28,TOT,6.5,3.6,1.2,0.1,0.4
466,Terry Taylor,PF,23,TOT,3.2,1.5,0.2,0.2,0.1
484,Jarred Vanderbilt,PF,23,TOT,7.8,7.4,2.2,0.3,1.1
56,Jarrell Brantley,PF,26,UTA,5.5,1.5,0.8,0.5,0
160,Rudy Gay,PF,36,UTA,5.2,2.9,1,0.3,0.3
394,Micah Potter,PF,24,UTA,3.4,2.3,0.6,0,0.1
429,Luka �amani?,PF,23,UTA,9.9,4.3,2.1,0.3,0.9
101,Xavier Cooks,PF,27,WAS,3.8,3.8,0.6,0.4,0.6
165,Anthony Gill,PF,30,WAS,3.3,1.7,0.6,0.2,0.1
278,Kyle Kuzma,PF,27,WAS,21.2,7.2,3.7,0.5,0.6
475,Isaiah Todd,PF,21,WAS,1.5,2,0.7,0,0.2
137,Kevin Durant,PF,34,TOT,28.3,6.6,4.6,1.4,0.6
271,Kevin Knox,PF,23,TOT,6.9,2.9,0.6,0.2,0.4
498,T.J. Warren,PF,29,TOT,7.1,2.9,0.9,0.3,0.5
150,Trent Forrest,PG,24,ATL,2.3,1.6,1.7,0.1,0.3
213,Aaron Holiday,PG,26,ATL,3.9,1.2,1.4,0.2,0.6
276,Vit Krejci,PG,22,ATL,1.2,0.9,0.6,0,0.2
