Rk;Player;Pos;Age;Tm;PTS;TRB;AST;BLK;STL
119;Mamadi Diakite;PF;26;CLE;2.6;1.4;0.4;0.4;0.2
120;Hamidou Diallo;SG;24;DET;9.3;3.5;1;0.3;0.9
121;Gorgui Dieng;C;33;SAS;3.9;3.5;1.7;0.5;0.1
122;Ousmane Dieng;SF;19;OKC;4.9;2.7;1.2;0.2;0.4
123;Spencer Dinwiddie;PG;29;TOT;17.3;3.4;6.5;0.3;0.8
123;Spencer Dinwiddie;PG;29;DAL;17.7;3.1;5.3;0.3;0.7
123;Spencer Dinwiddie;PG;29;BRK;16.5;4.1;9.1;0.3;1.1
124;Donte DiVincenzo;SG;26;GSW;9.4;4.5;3.5;0.1;1.3
125;Luka Don?i?;PG;23;DAL;32.4;8.6;8;0.5;1.4
126;Tyler Dorsey;SG;26;DAL;3;0.7;0;0;0
127;Luguentz Dort;SG;23;OKC;13.7;4.6;2.1;0.3;1
128;Ayo Dosunmu;SG;23;CHI;8.6;2.8;2.6;0.3;0.8
129;Devon Dotson;PG;23;WAS;0.5;1.7;1.3;0;0.8
130;Jeff Dowtin;PG;25;TOR;2.4;0.9;1.2;0.1;0.4
131;PJ Dozier;SG;26;SAC;1.4;0.9;0.6;0.1;0.4
132;Goran Dragi?;PG;36;TOT;6.3;1.4;2.6;0.1;0.2
132;Goran Dragi?;PG;36;CHI;6.4;1.4;2.7;0.1;0.2
132;Goran Dragi?;PG;36;MIL;5.6;1.7;1.7;0;0.3
133;Andre Drummond;C;29;CHI;6;6.6;0.5;0.4;0.7
134;Chris Duarte;SF;25;IND;7.9;2.5;1.4;0.2;0.5
135;David Duke Jr.;SG;23;BRK;3.7;1.3;0.9;0;0.4
136;Kris Dunn;PG;28;UTA;13.2;4.5;5.6;0.5;1.1
137;Kevin Durant;PF-SF;34;TOT;29.1;6.7;5;1.4;0.7
137;Kevin Durant;PF;34;BRK;29.7;6.7;5.3;1.5;0.8
137;Kevin Durant;SF;34;PHO;26;6.4;3.5;1.3;0.3
138;Jalen Duren;C;19;DET;9.1;8.9;1.1;0.9;0.7
139;Tari Eason;PF;21;HOU;9.3;6;1.1;0.6;1.2
140;Anthony Edwards;SG;21;MIN;24.6;5.8;4.4;0.7;1.6
141;Kessler Edwards;SF;22;TOT;2.8;1.7;0.6;0.2;0.4
141;Kessler Edwards;SF;22;BRK;1.1;1;0.1;0.1;0.2
141;Kessler Edwards;SF;22;SAC;3.9;2.1;1;0.2;0.5
142;Keon Ellis;SG;23;SAC;1.5;0.5;0.4;0.1;0.3
143;Joel Embiid;C;28;PHI;33.1;10.2;4.2;1.7;1
144;Drew Eubanks;C;25;POR;6.6;5.4;1.3;1.3;0.5
145;Bruno Fernando;C;24;TOT;3.9;3.5;0.8;0.9;0.2
145;Bruno Fernando;C;24;HOU;4.1;3.9;1;1;0.2
145;Bruno Fernando;C;24;ATL;3.4;1.9;0.1;0.4;0
146;Dorian Finney-Smith;PF;29;TOT;8.3;4.8;1.5;0.5;0.8
146;Dorian Finney-Smith;PF;29;DAL;9.1;4.7;1.5;0.5;1
146;Dorian Finney-Smith;PF;29;BRK;7.2;4.9;1.6;0.6;0.7
147;Malachi Flynn;PG;24;TOR;4.6;1.4;1.3;0.1;0.4
148;Simone Fontecchio;SF;27;UTA;6.3;1.7;0.8;0.2;0.3
149;Bryn Forbes;SG;29;MIN;3.6;0.6;0.7;0.1;0.3
150;Trent Forrest;PG;24;ATL;2.3;1.6;1.7;0.1;0.3
151;Michael Foster Jr.;PF;20;PHI;0;0;0;0;0
152;Evan Fournier;SG;30;NYK;6.1;1.8;1.3;0.1;0.6
153;De'Aaron Fox;PG;25;SAC;25;4.2;6.1;0.3;1.1
154;Markelle Fultz;PG;24;ORL;14;3.9;5.7;0.4;1.5
155;Wenyen Gabriel;PF;25;LAL;5.5;4.2;0.5;0.5;0.4
156;Daniel Gafford;C;24;WAS;9;5.6;1.1;1.3;0.4
157;Darius Garland;PG;23;CLE;21.6;2.7;7.8;0.1;1.2
158;Usman Garuba;PF;20;HOU;3;4.1;0.9;0.4;0.6
159;Luka Garza;C;24;MIN;6.5;2.3;0.6;0.1;0.1
160;Rudy Gay;PF;36;UTA;5.2;2.9;1;0.3;0.3
161;Paul George;SG;32;LAC;23.8;6.1;5.1;0.4;1.5
162;Taj Gibson;C;37;WAS;3.4;1.9;0.7;0.2;0.3
163;Josh Giddey;SG;20;OKC;16.6;7.9;6.2;0.4;0.8
164;Shai Gilgeous-Alexander;PG;24;OKC;31.4;4.8;5.5;1;1.6
165;Anthony Gill;PF;30;WAS;3.3;1.7;0.6;0.2;0.1
166;Jacob Gilyard;PG;24;MEM;3;4;7;0;3
167;Rudy Gobert;C;30;MIN;13.4;11.6;1.2;1.4;0.8
168;Jordan Goodwin;PG;24;WAS;6.6;3.3;2.7;0.4;0.9
169;Aaron Gordon;PF;27;DEN;16.3;6.6;3;0.8;0.8
170;Eric Gordon;SG;34;TOT;12.4;1.9;2.7;0.4;0.6
170;Eric Gordon;SG;34;HOU;13.1;2.1;2.9;0.4;0.6
170;Eric Gordon;SG;34;LAC;11;1.7;2.1;0.4;0.6
171;Devonte' Graham;PG;27;TOT;7.4;1.7;2.7;0.2;0.6
171;Devonte' Graham;PG;27;NOP;5.3;1.4;2.2;0.2;0.6
171;Devonte' Graham;PG;27;SAS;13;2.5;4;0.3;0.8
172;Jerami Grant;PF;28;POR;20.5;4.5;2.4;0.8;0.8
173;RaiQuan Gray;PF;23;BRK;16;9;7;1;0
174;A.J. Green;SG;23;MIL;4.4;1.3;0.6;0;0.2
175;Danny Green;SG;35;TOT;5.5;1.3;0.5;0.3;0.5
175;Danny Green;SG;35;MEM;3;1.3;0.7;0;0.3
175;Danny Green;SG;35;CLE;6.5;1.3;0.5;0.4;0.6
176;Draymond Green;PF;32;GSW;8.5;7.2;6.8;0.8;1
177;Jalen Green;SG;20;HOU;22.1;3.7;3.7;0.2;0.8
178;JaMychal Green;PF;32;GSW;6.4;3.6;0.9;0.4;0.4
179;Javonte Green;SG;29;CHI;5.2;2.8;0.7;0.7;0.8
180;Jeff Green;PF;36;DEN;7.8;2.6;1.2;0.3;0.3
181;Josh Green;SG;22;DAL;9.1;3;1.7;0.1;0.7
182;AJ Griffin;SF;19;ATL;8.9;2.1;1;0.2;0.6
183;Blake Griffin;C;33;BOS;4.1;3.8;1.5;0.2;0.3
184;Quentin Grimes;SG;22;NYK;11.3;3.2;2.1;0.4;0.7
185;Rui Hachimura;PF;24;TOT;11.2;4.5;0.9;0.4;0.3
185;Rui Hachimura;PF;24;WAS;13;4.3;1.2;0.4;0.4
185;Rui Hachimura;PF;24;LAL;9.6;4.7;0.7;0.4;0.2
186;Tyrese Haliburton;PG;22;IND;20.7;3.7;10.4;0.4;1.6
187;Jordan Hall;SF;21;SAS;3.1;1.3;1.2;0;0.1
188;R.J. Hampton;PG;21;TOT;6.4;1.9;1.1;0.2;0.6
188;R.J. Hampton;PG;21;ORL;5.7;1.5;1.3;0.2;0.6
188;R.J. Hampton;PG;21;DET;7.3;2.3;1;0.2;0.5
189;Tim Hardaway Jr.;SG;30;DAL;14.4;3.5;1.8;0.2;0.7
190;James Harden;PG;33;PHI;21;6.1;10.7;0.5;1.2
191;Jaden Hardy;SG;20;DAL;8.8;1.9;1.4;0.1;0.4
192;Ron Harper Jr.;SF;22;TOR;2.2;0.8;0.4;0.1;0
193;Montrezl Harrell;C;29;PHI;5.6;2.8;0.6;0.4;0.3
194;Gary Harris;SG;28;ORL;8.3;2;1.2;0.3;0.9
195;Joe Harris;SG;31;BRK;7.6;2.2;1.4;0.2;0.5
196;Kevon Harris;SG;25;ORL;4.1;2.1;0.5;0.1;0.5
197;Tobias Harris;PF;30;PHI;14.7;5.7;2.5;0.5;0.9
198;Shaquille Harrison;SG;29;POR;8.8;4.4;6;0.4;2.2
199;Josh Hart;SF-SG;27;TOT;9.8;7.8;3.8;0.3;1.2
199;Josh Hart;SF;27;POR;9.5;8.2;3.9;0.2;1.1
199;Josh Hart;SG;27;NYK;10.2;7;3.6;0.5;1.4
200;Isaiah Hartenstein;C;24;NYK;5;6.5;1.2;0.8;0.6
201;Udonis Haslem;C;42;MIA;3.9;1.6;0;0.3;0.1
202;Sam Hauser;PF;25;BOS;6.4;2.6;0.9;0.3;0.4
203;Jaxson Hayes;C;22;NOP;5;2.8;0.7;0.4;0.4
204;Killian Hayes;PG;21;DET;10.3;2.9;6.2;0.4;1.4
205;Gordon Hayward;SF;32;CHO;14.7;4.3;4.1;0.2;0.8
206;Juancho Hernang�mez;PF;27;TOR;2.9;2.9;0.6;0.1;0.4
207;Willy Hernang�mez;C;28;NOP;6.9;4.7;0.9;0.3;0.4
208;Tyler Herro;SG;23;MIA;20.1;5.4;4.2;0.2;0.8
209;Buddy Hield;SF;30;IND;16.8;5;2.8;0.3;1.2
210;Haywood Highsmith;SF;26;MIA;4.4;3.5;0.8;0.3;0.7
211;George Hill;PG;36;TOT;5;1.8;2.4;0.1;0.6
211;George Hill;PG;36;MIL;5;1.9;2.5;0.1;0.5
211;George Hill;PG;36;IND;5.2;1.6;1.9;0.3;0.6
212;Malcolm Hill;SF;27;CHI;1;0.6;0;0;0
213;Aaron Holiday;PG;26;ATL;3.9;1.2;1.4;0.2;0.6
214;Jrue Holiday;PG;32;MIL;19.3;5.1;7.4;0.4;1.2
215;Justin Holiday;SG;33;TOT;4.5;1.2;0.9;0.4;0.4
215;Justin Holiday;SG;33;ATL;4.5;0.8;0.9;0.4;0.2
215;Justin Holiday;SG;33;DAL;4.4;1.8;0.9;0.5;0.8
216;Richaun Holmes;C;29;SAC;3.1;1.9;0.2;0.3;0.1
217;Al Horford;C;36;BOS;9.8;6.2;3;1;0.5
218;Talen Horton-Tucker;SG;22;UTA;10.7;3.2;3.8;0.4;0.6
219;Danuel House Jr.;SF;29;PHI;4.8;1.7;0.8;0.2;0.3
220;Caleb Houstan;SF;20;ORL;3.8;1.9;0.6;0.1;0.2
221;Trevor Hudgins;PG;23;HOU;1.8;0;0.6;0;0
222;Kevin Huerter;SG;24;SAC;15.2;3.3;2.9;0.3;1.1
223;Jay Huff;C;24;WAS;7.3;3;1.4;0.6;0.4
224;De'Andre Hunter;SF;25;ATL;15.4;4.2;1.4;0.3;0.5
225;Bones Hyland;PG;22;TOT;11.8;2.4;3.1;0.3;0.7
225;Bones Hyland;PG;22;DEN;12.1;2;3;0.3;0.7
225;Bones Hyland;PG;22;LAC;10.8;3.5;3.4;0.1;0.8
226;Serge Ibaka;C;33;MIL;4.1;2.8;0.3;0.4;0.1
227;Andre Iguodala;SF;39;GSW;2.1;2.1;2.4;0.4;0.5
